code,year,tmin,tmax,tmean,domin,domax,domean,bodmin,bodmax,bodmean,phmin,phmax,phmean,cmin,cmax,cmean,nmin,nmax,nmean,fcmin,fcmax,fcmean,tcmin,tcmax,tcmean
1297,2005,21,21,21,6.1,6.8,6.45,1,2.2,1.65,7.1,7.7,7.325,295,330,306.7,0.19,3.2,0.998,70,170,115,500,900,625
1297,2006,14,27,20,6.1,6.6,6.3,0.9,3,1.8,7.1,7.7,7.47,285,430,351,0.1,2.8,1.2,70,500,247,500,1100,700
1297,2007,15,15,15,7,7,7,1.2,1.2,1.2,7.7,7.7,7.7,428,428,428,2,2,2,0,0,0,350,350,350
1309,2011,7,10,8.3,7.8,9.6,8.7,0.4,4.4,1.4,7.1,7.8,7.6,110,159,136,0,0,0,500,1100,848,900,1600,1167
1309,2012,6,20,14,5,7.5,6.5,0.4,2.1,1.2,7.3,7.9,7.5,135,380,201,0.11,1,1,40,700,145,110,900,309
1309,2013,1,5,3,7.8,8.2,8,1.2,2.8,1.9,7.8,7.8,7.8,322,381,352,0.36,1,0.78,2,500,110,4,900,230
1309,2014,6,22,13.7,5,9.3,7.3,0.4,2.4,1.1,7,8.1,7.7,106,326,182,0,0,0,2,240,59,90,2200,562
1343,2003,24,25,24,2.5,6.3,4.7,1,1.6,1.2,7.3,7.8,7.6,54000,74500,63250,0.323,1.259,0.69,30,150,95,350,750,650
1343,2004,28,32,31,5.7,16.2,9.5,6.1,47,22.8,8,9.6,9,1160,2010,1635,,,,90,11000,2848,430,11000,3078
1343,2005,28,28,28,1.6,12.4,6.35,3.8,19,10.95,7.5,8.44,8.022,1050,1890,1425,0.11,0.44,0.305,150,15000,4895,430,46000,12990
1343,2006,22,31,26,4.4,8.5,7.1,7,22,12.7,7.6,7.96,7.76,1130,1450,1247,0.1,3.6,1.3,9,4300,1486,15,9300,3355
1343,2007,25,27,26,3.5,5.5,4.5,2,6,4,7.4,7.6,7.5,1010,1300,1155,0.1,0.4,0.25,150,210,180,200,1500,850
1343,2008,25,30,27,6.4,9.2,7.7,1.4,4,2.5,7.1,8.9,8,1020,1430,1283,0,0,0,260,600,437,700,1200,974
1343,2009,27,30,28.7,4.1,6.9,5.4,,,,8.8,9,8.9,1220,2120,1790,0,0,0,,,,,,
1343,2010,26,29,27,7.1,7.4,7.3,,,,7,7.2,7.1,44,56,49,0,0,0,,,,,,
1343,2013,25,30,27.6,3.5,9.8,6.5,2.3,5.3,3.8,7.8,9,8.6,185,1350,649,0,0,0,6,9,7,9,14,11
1344,2003,26,28,27,5.7,7.8,6.9,0.6,1.1,0.8,7,8.4,7.7,178,178,178,,,,,,,,,
1344,2004,28,32,30,2.5,6.4,4.6,1.6,33,14.4,7.9,8.8,8.2,307,819,576,,,,28,930,477,93,1500,768
1344,2005,28,30,29,2.8,6.9,4.825,4,36,13.25,7.02,8.7,7.912,321,565,442.5,0.05,0.46,0.275,150,46000,23270,460,110000,55490
1344,2006,24,24,24,7,7,7,2.3,2.3,2.3,8.3,8.3,8.3,245,245,245,0.1,0.1,0.1,1500,1500,1500,11000,11000,11000
1344,2008,30,30,30,5.1,5.1,5.1,0.5,5,1.6,7.3,7.3,7.3,585,585,585,0.16,1,1,70,35000,3833,170,92000,9261
1344,2009,29,30,29.5,4.3,6.1,5.2,0.1,13.5,2.4,8.7,9.2,9,308,614,461,0.14,1,1,84,5400,804,150,9200,1308
1344,2013,28,31,29.5,4.6,10,7.03,1,4,2,7.9,8.5,8.1,286,402,320,0,2.23,1.66,230,7900,1730,790,11000,3824
1345,2003,26,29,28,3,4.2,3.6,13,23,16.3,8.2,8.6,8.3,1600,2860,2233,8.5,8.5,8.5,190,190,190,190,190,190
1345,2004,28,34,30,6.7,8.6,7.4,0.5,5.2,2,7.8,8.7,8.2,203,247,223,,,,4,7,6,9,150,74
1345,2005,29,29,29,4.81,9.27,7.447,1.68,4.87,3.005,7.88,8.76,8.227,161,235,205,0.12,0.2,0.163,2,4,3,3,9,6
1345,2006,22,26,24,5.3,10.6,8,2.6,4.4,3.5,8,8.4,8.2,211,309,260,0.2,0.2,0.2,4,9,7,11,15,13
1345,2007,21,27,25,7.2,9.6,8.6,2.8,3,3,8,8.6,8.3,220,244,234,0.05,0.09,0.07,2,9,5,11,21,16
1345,2008,27,28,27.3,4.4,9.9,7.5,2,6,2.4,7.9,8.2,8.1,285,328,314,0,1,0.5,700,3500,1613,1700,9200,4150
1345,2009,25,29,27,4,7.3,6.1,1,2,1.8,7.9,8.2,8,252,268,261,0,2,1,170,700,306,330,1300,651
1345,2010,26,32,29.3,2.88,7.8,6.3,0.2,2.7,1.2,7.7,8.2,8,254,328,282,0.052,1.55,1.23,2,490,108,17,1300,413
1345,2011,26,31,27.8,6,9,7.9,0.4,2.7,1.4,8.1,8.7,8.5,230,366,285,0.014,0.45,0.26,780,17000,7453,680,35000,12640
1345,2012,26,26,26,7.3,7.3,7.3,0.1,1.4,0.8,8.6,8.6,8.6,279,279,279,0,0,0,20,450,160,45,780,329
1345,2013,25,30,28,5.7,8.6,7.8,0.7,6,2.2,7,8.4,8,350,3760,2225,0.14,1,0.77,20,17000,3207,20,22000,4719
1346,2003,8,20,15,1.4,12.4,9.4,2.4,3.2,2.7,7.8,8.4,8.2,540,550,547,,,,,,,920,1600,1430
1346,2004,27,34,29,0.8,5,3.5,4.3,12,7.8,7.3,8,7.6,2910,4800,4183,,,,4,5,5,7,15,11
